"t","year","l","al","ga","sigma","rr","etree","cost1","pbacktime","partfract","forcoth","cpricebase"
"215",2224.0000000000,10490.4699830022,25.9078190377,0.0043754525,0.0796062865,0.0413301478,0.0002348364,0.0033093700,116.4008078594,1.0000000000,0.7000000000,69.2527074727
"216",2225.0000000000,10490.7401735831,26.0216756431,0.0043492784,0.0789649659,0.0407193575,0.0002245864,0.0032661290,115.8128949217,1.0000000000,0.7000000000,70.6377616222
"217",2226.0000000000,10491.0027071325,26.1353455362,0.0043232608,0.0783294456,0.0401175936,0.0002147837,0.0032234791,115.2279513931,1.0000000000,0.7000000000,72.0505168546
"218",2227.0000000000,10491.2578004623,26.2488260578,0.0042973989,0.0776996678,0.0395247227,0.0002054090,0.0031814119,114.6459622760,1.0000000000,0.7000000000,73.4915271917
"219",2228.0000000000,10491.5056642553,26.3621145808,0.0042716917,0.0770755757,0.0389406135,0.0001964434,0.0031399189,114.0669126481,1.0000000000,0.7000000000,74.9613577356
"220",2229.0000000000,10491.7465032382,26.4752085102,0.0042461383,0.0764571130,0.0383651365,0.0001878691,0.0030989921,113.4907876629,1.0000000000,0.7000000000,76.4605848903
"221",2230.0000000000,10491.9805163496,26.5881052830,0.0042207378,0.0758442239,0.0377981640,0.0001796691,0.0030586234,112.9175725486,1.0000000000,0.7000000000,77.9897965881
"222",2231.0000000000,10492.2078969028,26.7008023681,0.0041954892,0.0752368533,0.0372395705,0.0001718270,0.0030188049,112.3472526083,1.0000000000,0.7000000000,79.5495925198
"223",2232.0000000000,10492.4288327443,26.8132972663,0.0041703916,0.0746349468,0.0366892320,0.0001643272,0.0029795287,111.7798132191,1.0000000000,0.7000000000,81.1405843702
"224",2233.0000000000,10492.6435064084,26.9255875102,0.0041454442,0.0740384502,0.0361470266,0.0001571547,0.0029407871,111.2152398319,1.0000000000,0.7000000000,82.7633960576
"225",2234.0000000000,10492.8520952666,27.0376706644,0.0041206460,0.0734473104,0.0356128341,0.0001502953,0.0029025726,110.6535179713,1.0000000000,0.7000000000,84.4186639788
"226",2235.0000000000,10493.0547716735,27.1495443248,0.0040959961,0.0728614744,0.0350865360,0.0001437353,0.0028648776,110.0946332349,1.0000000000,0.7000000000,86.1070372584
"227",2236.0000000000,10493.2517031080,27.2612061192,0.0040714937,0.0722808901,0.0345680158,0.0001374616,0.0028276948,109.5385712931,1.0000000000,0.7000000000,87.8291780035
"228",2237.0000000000,10493.4430523111,27.3726537069,0.0040471379,0.0717055057,0.0340571584,0.0001314617,0.0027910169,108.9853178886,1.0000000000,0.7000000000,89.5857615636
"229",2238.0000000000,10493.6289774195,27.4838847787,0.0040229278,0.0711352701,0.0335538507,0.0001257238,0.0027548368,108.4348588361,1.0000000000,0.7000000000,91.3774767949
"230",2239.0000000000,10493.8096320957,27.5948970565,0.0039988625,0.0705701327,0.0330579809,0.0001202362,0.0027191474,107.8871800220,1.0000000000,0.7000000000,93.2050263308
"231",2240.0000000000,10493.9851656540,27.7056882939,0.0039749411,0.0700100435,0.0325694393,0.0001149882,0.0026839417,107.3422674041,1.0000000000,0.7000000000,95.0691268574
"232",2241.0000000000,10494.1557231834,27.8162562752,0.0039511629,0.0694549530,0.0320881176,0.0001099693,0.0026492130,106.8001070108,1.0000000000,0.7000000000,96.9705093945
"233",2242.0000000000,10494.3214456670,27.9265988163,0.0039275269,0.0689048122,0.0316139090,0.0001051694,0.0026149545,106.2606849414,1.0000000000,0.7000000000,98.9099195824
"234",2243.0000000000,10494.4824700978,28.0367137638,0.0039040323,0.0683595725,0.0311467083,0.0001005790,0.0025811595,105.7239873652,1.0000000000,0.7000000000,100.8881179741
"235",2244.0000000000,10494.6389295914,28.1465989952,0.0038806782,0.0678191861,0.0306864121,0.0000961890,0.0025478215,105.1900005215,1.0000000000,0.7000000000,102.9058803336
"236",2245.0000000000,10494.7909534956,28.2562524188,0.0038574639,0.0672836054,0.0302329184,0.0000919906,0.0025149341,104.6587107190,1.0000000000,0.7000000000,104.9639979402
"237",2246.0000000000,10494.9386674966,28.3656719737,0.0038343884,0.0667527836,0.0297861265,0.0000879754,0.0024824908,104.1301043355,1.0000000000,0.7000000000,107.0632778990
"238",2247.0000000000,10495.0821937229,28.4748556295,0.0038114509,0.0662266741,0.0293459374,0.0000841355,0.0024504855,103.6041678178,1.0000000000,0.7000000000,109.2045434570
"239",2248.0000000000,10495.2216508454,28.5838013860,0.0037886507,0.0657052311,0.0289122536,0.0000804632,0.0024189120,103.0808876811,1.0000000000,0.7000000000,111.3886343262
"240",2249.0000000000,10495.3571541750,28.6925072738,0.0037659869,0.0651884090,0.0284849789,0.0000769512,0.0023877641,102.5602505084,1.0000000000,0.7000000000,113.6164070127
